feature,source,built_from,dtype,role,availability_tier,cov_2016,cov_2017,cov_2018,cov_2019,cov_2020,cov_min_year,n_years_ge_60,gate_a_holdout,gate_b_train,gate_c_needs_2016_drop,gate_d_holdout_variance,in_full,in_core,near_zero_variance,constant_in_holdout,year_variance_share,decision,decision_reason
bikes,raw,,float64,condition,ex_ante,0.0,0.0,0.0,0.0,97.3,0.0,1,True,False,False,True,False,False,False,False,0.0,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
bikes_binary,raw,,boolean,condition,ex_ante,0.0,0.0,100.0,0.0,97.3,0.0,2,True,False,False,True,False,False,False,False,0.0015,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
chicken_binary,raw,,boolean,condition,ex_ante,0.0,0.0,100.0,0.0,97.3,0.0,2,True,False,False,True,False,False,False,False,0.0001,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
cows_binary,raw,,boolean,condition,ex_ante,0.0,0.0,100.0,0.0,97.3,0.0,2,True,False,False,True,False,False,False,False,0.0013,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
distance_meter,raw,,object,condition,ex_ante,0.0,95.3,99.2,100.0,0.0,0.0,3,False,True,False,True,False,False,False,False,,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
distance_meter_num,derived,distance_meter,Float64,condition,ex_ante,0.0,95.3,99.2,100.0,0.0,0.0,3,False,True,False,True,False,False,False,False,0.0025,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
goats_binary,raw,,boolean,condition,ex_ante,0.0,0.0,100.0,0.0,97.3,0.0,2,True,False,False,True,False,False,False,False,0.0002,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
owns_bikes,raw,,boolean,condition,ex_ante,0.0,0.0,100.0,0.0,97.3,0.0,2,True,False,False,True,False,False,False,False,0.0015,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
owns_radio,raw,,boolean,condition,ex_ante,0.0,0.0,100.0,0.0,97.3,0.0,2,True,False,False,True,False,False,False,False,0.0,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
oxen,raw,,float64,condition,ex_ante,0.0,0.0,0.0,100.0,97.3,0.0,2,True,False,False,True,False,False,False,False,0.0007,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
radio_binary,raw,,boolean,condition,ex_ante,0.0,0.0,100.0,0.0,97.3,0.0,2,True,False,False,True,False,False,False,False,0.0,drop,"Gate B: present in fewer than 2 training years, so the model cannot separate it from a year effect."
slope,raw,,object,condition,ex_ante,0.0,12.6,27.7,26.2,22.0,0.0,0,False,False,False,True,False,False,False,False,,drop,"Gate A: only 22.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
slope_angle_des,raw,,object,condition,ex_ante,0.0,95.3,0.0,0.0,0.0,0.0,1,False,False,False,True,False,False,False,False,,drop,"Gate A: only 0.0% coverage in the 2020 holdout, so it cannot be scored out-of-time."
